"Data export"
"From 2024-05-20 14:28:40.618 to 2024-05-20 14:32:09.022"
"(UTC08:00)China Standard Time"
""
""
""
""
""
""
""
"Time","Serial","Temperature","Humidity","Atmospheric pressure","Channel 1","Channel 2","Channel 3","Channel 4","Vin","Vsg","Channel 1(cal)","Channel 2(cal)","Channel 3(cal)","Channel 4(cal)","Futek","Load_Average"
2024-05-20 14:28:40.618,"SIF00000748",24.55833,59.59625,0,0.09423494,-0.6282851,0,0,0,0,NA,-0.6282851,0,0,-0.800000011920929,607.43933
2024-05-20 14:28:42.359,"SIF00000748",24.55833,59.59625,0,0.09422377,-0.6293412,0,0,0,0,0.09422377,-0.6293412,0,0,-0.800000011920929,31321.667
2024-05-20 14:28:44.093,"SIF00000748",24.55833,59.59625,0,0.09427965,-0.6304141,0,0,0,0,0.09427965,-0.6304141,0,0,-0.800000011920929,80823.893
2024-05-20 14:28:45.828,"SIF00000748",24.55833,59.59625,0,0.1407014,-0.6288048,0,0,0,0,0.1407014,-0.6288048,0,0,-6.72200012207031,104682.240333333
2024-05-20 14:28:47.566,"SIF00000748",24.55833,59.59625,0,0.2136324,-0.6273687,0,0,0,0,0.2136324,-0.6273687,0,0,-9.62199974060059,152245.206666667
2024-05-20 14:28:49.317,"SIF00000748",24.55833,59.59625,0,0.2220757,-0.626402,0,0,0,0,0.2220757,-0.626402,0,0,-10.0299997329712,194085.89
2024-05-20 14:28:51.042,"SIF00000748",24.55833,59.59625,0,0.2237493,-0.6259074,0,0,0,0,0.2237493,-0.6259074,0,0,-10.1300001144409,200185.336666667
2024-05-20 14:28:52.784,"SIF00000748",24.55833,59.59625,0,0.2233274,-0.6249519,0,0,0,0,0.2233274,-0.6249519,0,0,-10.1000003814697,200159.186666667
2024-05-20 14:28:54.533,"SIF00000748",24.55833,59.59625,0,0.2230229,-0.6256309,0,0,0,0,0.2230229,-0.6256309,0,0,-10.0799999237061,200009.803333333
2024-05-20 14:28:56.275,"SIF00000748",24.55833,59.59625,0,0.2227547,-0.6260639,0,0,0,0,0.2227547,-0.6260639,0,0,-10.0600004196167,200002.783333333
2024-05-20 14:28:58.01,"SIF00000748",24.55833,59.59625,0,0.2225144,-0.6253151,0,0,0,0,0.2225144,-0.6253151,0,0,-10.039999961853,199999.893333333
2024-05-20 14:28:59.761,"SIF00000748",24.55833,59.59625,0,0.2223048,-0.6259466,0,0,0,0,0.2223048,-0.6259466,0,0,-10.0299997329712,199999.893333333
2024-05-20 14:29:01.501,"SIF00000748",24.55833,59.59625,0,0.2223048,-0.6259466,0,0,0,0,0.2223048,-0.6259466,0,0,-10.0200004577637,199997.653333333
2024-05-20 14:29:03.234,"SIF00000748",24.55833,59.59625,0,0.2221456,-0.6267652,0,0,0,0,0.2221456,-0.6267652,0,0,-10.1199998855591,199999.04
2024-05-20 14:29:04.97,"SIF00000748",24.55833,59.59625,0,0.2331091,-0.6260835,0,0,0,0,0.2331091,-0.6260835,0,0,-15.9700002670288,199997.546666667
2024-05-20 14:29:06.705,"SIF00000748",24.55833,59.59625,0,0.3248239,-0.6259745,0,0,0,0,0.3248239,-0.6259745,0,0,-18.9500007629395,213851.546666667
2024-05-20 14:29:08.445,"SIF00000748",24.55833,59.59625,0,0.3516739,-0.6260388,0,0,0,0,0.3516739,-0.6260388,0,0,-19.8099994659424,262060.676666667
2024-05-20 14:29:10.181,"SIF00000748",24.55833,59.59625,0,0.3659008,-0.6264299,0,0,0,0,0.3659008,-0.6264299,0,0,-20.0699996948242,309453.69
2024-05-20 14:29:11.922,"SIF00000748",24.55833,59.59625,0,0.3654286,-0.626592,0,0,0,0,0.3654286,-0.626592,0,0,-20.0200004577637,333205
2024-05-20 14:29:13.666,"SIF00000748",24.55833,59.59625,0,0.3649341,-0.6266227,0,0,0,0,0.3649341,-0.6266227,0,0,-19.9899997711182,380644.083333333
2024-05-20 14:29:15.402,"SIF00000748",24.55833,59.59625,0,0.3644927,-0.6257929,0,0,0,0,0.3644927,-0.6257929,0,0,-19.9599990844727,399808.416666667
2024-05-20 14:29:17.138,"SIF00000748",24.55833,59.59625,0,0.3647497,-0.626388,0,0,0,0,0.3647497,-0.626388,0,0,-26.7099990844727,400055.536666667
2024-05-20 14:29:18.878,"SIF00000748",24.55833,59.59625,0,0.4625805,-0.6261198,0,0,0,0,0.4625805,-0.6261198,0,0,-28.4599990844727,400012.076666667
2024-05-20 14:29:20.614,"SIF00000748",24.55833,59.59625,0,0.4961388,-0.6257147,0,0,0,0,0.4961388,-0.6257147,0,0,-29.5599994659424,400003.923333333
2024-05-20 14:29:22.37,"SIF00000748",24.55833,59.59625,0,0.5081193,-0.6245468,0,0,0,0,0.5081193,-0.6245468,0,0,-30.3099994659424,400000.67
2024-05-20 14:29:24.117,"SIF00000748",24.55833,59.59625,0,0.5119918,-0.6256029,0,0,0,0,0.5119918,-0.6256029,0,0,-30.2399997711182,399980.626666667
2024-05-20 14:29:25.841,"SIF00000748",24.55833,59.59625,0,0.511324,-0.6248345,0,0,0,0,0.511324,-0.6248345,0,0,-30.2000007629395,399989.406666667
2024-05-20 14:29:27.582,"SIF00000748",24.55833,59.59625,0,0.5107065,-0.6261868,0,0,0,0,0.5107065,-0.6261868,0,0,-30.1599998474121,400004.03
2024-05-20 14:29:29.319,"SIF00000748",24.55833,59.59625,0,0.5102065,-0.627067,0,0,0,0,0.5102065,-0.627067,0,0,-30.1200008392334,399996.696666667
2024-05-20 14:29:31.075,"SIF00000748",24.55833,59.59625,0,0.5097287,-0.6271983,0,0,0,0,0.5097287,-0.6271983,0,0,-30.0900001525879,410319.736666667
2024-05-20 14:29:32.795,"SIF00000748",24.55833,59.59625,0,0.5092788,-0.6278269,0,0,0,0,0.5092788,-0.6278269,0,0,-30.0599994659424,434357.17
2024-05-20 14:29:34.531,"SIF00000748",24.55833,59.59625,0,0.5088235,-0.6274525,0,0,0,0,0.5088235,-0.6274525,0,0,-30.0300006866455,481730.043333333
2024-05-20 14:29:36.267,"SIF00000748",24.55833,59.59625,0,0.5084267,-0.6275643,0,0,0,0,0.5084267,-0.6275643,0,0,-30,529167.316666667
2024-05-20 14:29:38.024,"SIF00000748",24.55833,59.59625,0,0.6367899,-0.6259605,0,0,0,0,0.6367899,-0.6259605,0,0,-39.4300003051758,576667.656666667
2024-05-20 14:29:39.759,"SIF00000748",24.55833,59.59625,0,0.6509582,-0.6249295,0,0,0,0,0.6509582,-0.6249295,0,0,-40.0400009155273,594389.38
2024-05-20 14:29:41.509,"SIF00000748",24.55833,59.59625,0,0.6545596,-0.6249799,0,0,0,0,0.6545596,-0.6249799,0,0,-40.2900009155273,600080.313333333
